piece,key,major,relative,sharps,scale,has_D#,has_D,D#_degree,D_degree
bwv18.5-lz.mxl,d,0,F,-1,"['D', 'E', 'F', 'G', 'A', 'B-', 'C', 'D']",False,True,,1.0
bwv18.5-w.mxl,c,0,E-,-3,"['C', 'D', 'E-', 'F', 'G', 'A-', 'B-', 'C']",True,True,3.0,2.0
bwv180.7.mxl,F,1,d,-1,"['F', 'G', 'A', 'B-', 'C', 'D', 'E', 'F']",False,True,,6.0
bwv183.5.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv184.5.mxl,D,1,b,2,"['D', 'E', 'F#', 'G', 'A', 'B', 'C#', 'D']",False,True,,1.0
bwv187.7.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv194.12.mxl,B-,1,g,-2,"['B-', 'C', 'D', 'E-', 'F', 'G', 'A', 'B-']",True,True,4.0,3.0
bwv194.6.mxl,B-,1,g,-2,"['B-', 'C', 'D', 'E-', 'F', 'G', 'A', 'B-']",True,True,4.0,3.0
bwv197.10.mxl,b,0,D,2,"['B', 'C#', 'D', 'E', 'F#', 'G', 'A', 'B']",False,True,,3.0
bwv197.5.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv2.6.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv20.11.mxl,F,1,d,-1,"['F', 'G', 'A', 'B-', 'C', 'D', 'E', 'F']",False,True,,6.0
bwv226.2.mxl,B-,1,g,-2,"['B-', 'C', 'D', 'E-', 'F', 'G', 'A', 'B-']",True,True,4.0,3.0
bwv227.11.mxl,e,0,G,1,"['E', 'F#', 'G', 'A', 'B', 'C', 'D', 'E']",False,True,,7.0
bwv227.7.mxl,e,0,G,1,"['E', 'F#', 'G', 'A', 'B', 'C', 'D', 'E']",False,True,,7.0
bwv24.6.mxl,F,1,d,-1,"['F', 'G', 'A', 'B-', 'C', 'D', 'E', 'F']",False,True,,6.0
bwv244.15.mxl,b,0,D,2,"['B', 'C#', 'D', 'E', 'F#', 'G', 'A', 'B']",False,True,,3.0
bwv244.25.mxl,b,0,D,2,"['B', 'C#', 'D', 'E', 'F#', 'G', 'A', 'B']",False,True,,3.0
bwv244.3.mxl,b,0,D,2,"['B', 'C#', 'D', 'E', 'F#', 'G', 'A', 'B']",False,True,,3.0
bwv244.32.mxl,B-,1,g,-2,"['B-', 'C', 'D', 'E-', 'F', 'G', 'A', 'B-']",True,True,4.0,3.0
bwv244.37.mxl,F,1,d,-1,"['F', 'G', 'A', 'B-', 'C', 'D', 'E', 'F']",False,True,,6.0
bwv244.44.mxl,D,1,b,2,"['D', 'E', 'F#', 'G', 'A', 'B', 'C#', 'D']",False,True,,1.0
bwv244.46.mxl,b,0,D,2,"['B', 'C#', 'D', 'E', 'F#', 'G', 'A', 'B']",False,True,,3.0
bwv244.54.mxl,d,0,F,-1,"['D', 'E', 'F', 'G', 'A', 'B-', 'C', 'D']",False,True,,1.0
bwv244.62.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv245.11.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv245.14.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv245.15.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv245.17.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv245.22.mxl,E,1,c#,4,"['E', 'F#', 'G#', 'A', 'B', 'C#', 'D#', 'E']",True,False,7.0,
bwv245.26.mxl,E-,1,c,-3,"['E-', 'F', 'G', 'A-', 'B-', 'C', 'D', 'E-']",True,True,1.0,7.0
bwv245.28.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
